600839.0,632654.0,645663.0,646526.0,642177.0,639764.0,634631.0,631044.0,629857.0,629146.0
676688.0,694520.0,703946.0,704996.0,695533.0,689237.0,684654.0,681943.0,679999.0,
741423.0,751063.0,748965.0,747312.0,743549.0,739173.0,732767.0,731394.0,,
757620.0,768456.0,766137.0,755428.0,749200.0,739830.0,735818.0,,,
809703.0,811170.0,801484.0,784457.0,775180.0,772221.0,,,,
862399.0,846249.0,851380.0,837554.0,834085.0,,,,,
934383.0,913211.0,912161.0,915216.0,,,,,,
958551.0,943200.0,928820.0,,,,,,,
921853.0,904893.0,,,,,,,,
919646.0,,,,,,,,,
